"","senator_name","year_in_office","Total_Transaction","yearly_weighted_return","weighted_average_returns","SP_500_return","abnormal_return_size","abnormal_return_numeric"
"551","Pete Sessions","2014",144009,-383666.232900828,-2.66418232819357,11.39,"123.39 % lower",-123.390538438925
"552","Patrick Fallon","2021",19564598,-130106711.829523,-6.65010913229719,26.89,"124.73 % lower",-124.730788889168
"553","Lamar Smith","2014",208013,-585952.630618177,-2.81690389840143,11.39,"124.73 % lower",-124.731377510109
"554","Tuberville, Tommy","2021",3015556,-20431139.2520959,-6.77524783227237,26.89,"125.20 % lower",-125.196161518306
"555","Josh Gottheimer","2019",4048126,-29543204.5269789,-7.29799530127741,28.88,"125.27 % lower",-125.270066832678
"556","Thomas H. Kean Jr.","2024",16001,-95123.1511607668,-5.94482539596068,23.31,"125.50 % lower",-125.503326451998
"557","John Garamendi","2016",8000.5,-19812.1346792418,-2.47636206227633,9.54,"125.96 % lower",-125.957673608767
"558","Wyden, Ron","2021",176509.5,-1234913.59342345,-6.99630101169317,26.89,"126.02 % lower",-126.018226149844
"559","David A. Trott","2018",1841526.5,-25997341.779574,-14.1172781274524,-6.24,"126.24 % lower",-126.238431529686
"560","Ed Perlmutter","2021",112007,-791970.016769662,-7.07071894408083,26.89,"126.29 % lower",-126.29497561949
"561","Susie Lee","2020",3065687.5,-13421529.1836989,-4.37798346494838,16.26,"126.92 % lower",-126.924867558108
"562","John Curtis","2023",921553,-6202295.27219193,-6.73026431707339,24.23,"127.78 % lower",-127.776575803027
"563","Mrs. Marjorie Taylor Greene","2021",330014.5,-2469649.2432935,-7.48345676718296,26.89,"127.83 % lower",-127.82988756855
"564","Brian Mast","2019",1310518.5,-10715241.196719,-8.17633722585294,28.88,"128.31 % lower",-128.311416987025
"565","Suzan K. Delbene","2021",46141003.5,-355659023.229537,-7.70809033725365,26.89,"128.67 % lower",-128.665267152301
"566","Debbie Dingell","2019",332507,-2929107.78951118,-8.80916127934504,28.88,"130.50 % lower",-130.502636008812
"567","Mr. K. Michael Conaway","2014",808050.5,-2807629.41245843,-3.47457171607273,11.39,"130.51 % lower",-130.505458437864
"568","Seth Moulton","2023",1000001.5,-7501463.08090164,-7.50145182872389,24.23,"130.96 % lower",-130.959355463161
"569","Lloyd Doggett","2023",192012,-1456286.63665843,-7.58435221058282,24.23,"131.30 % lower",-131.301494884783
"570","Boozman, John","2023",96504.5,-740553.520484589,-7.67377190166872,24.23,"131.67 % lower",-131.67054024626
"571","Lamar Smith","2016",792049.5,-2416979.23294927,-3.05155073382317,9.54,"131.99 % lower",-131.9869049667
"572","Katherine M. Clark","2020",1240576,-6487705.95479278,-5.22959170159086,16.26,"132.16 % lower",-132.16231058789
"573","Bradley S. Schneider","2019",11307522,-106461273.90455,-9.41508439289796,28.88,"132.60 % lower",-132.600707731641
"574","Andrew Garbarino","2021",64004,-594613.960827345,-9.29026249652124,26.89,"134.55 % lower",-134.54913535337
"575","Thomas Macarthur","2017",11325172.5,-78596392.6649581,-6.93997311431311,19.42,"135.74 % lower",-135.736215830655
"576","Anthony E. Gonzalez","2019",140001.5,-1467429.85589129,-10.4815295256929,28.88,"136.29 % lower",-136.293384784255
"577","Zoe Lofgren","2021",848551.5,-8307967.88672525,-9.7907644812663,26.89,"136.41 % lower",-136.410429458038
"578","Suzan K. Delbene","2020",37149004.5,-221689932.726035,-5.96758744170479,16.26,"136.70 % lower",-136.701029776782
"579","Richard W. Allen","2019",1365021.5,-14671893.4571968,-10.7484705971274,28.88,"137.22 % lower",-137.217695973433
"580","King, Angus","2023",8000.5,-72944.7532243591,-9.11752430777565,24.23,"137.63 % lower",-137.629072669318
"581","William M. Cassidy","2014",72503,-312166.631931465,-4.30556848587596,11.39,"137.80 % lower",-137.801303651238
"582","Nancy Pelosi","2020",34450016,-216934247.382056,-6.29707247108554,16.26,"138.73 % lower",-138.727382971006
"583","Dwight Evans","2019",112007,-1281399.16606596,-11.4403489609217,28.88,"139.61 % lower",-139.613396679092
"584","Michael Garcia","2021",186504,-2065425.68746595,-11.0744310441918,26.89,"141.18 % lower",-141.184198751178
"585","Lloyd Doggett","2017",894009.5,-7355943.08159989,-8.22803681795316,19.42,"142.37 % lower",-142.368881657843
"586","Daniel Meuser","2020",427017.5,-2994153.85148118,-7.01178254165503,16.26,"143.12 % lower",-143.122893860117
"587","Capito, Shelley Moore","2024",65001,-669542.300050195,-10.3004923008907,23.31,"144.19 % lower",-144.189156159977
"588","K. Michael Conaway","2019",2182045.5,-28304064.235271,-12.9713446558612,28.88,"144.91 % lower",-144.914628309769
"589","Joe Courtney","2019",272017,-3581811.6853615,-13.1676023386829,28.88,"145.59 % lower",-145.594190923417
"590","Luis V. Gutierrez","2017",350001,-3122057.72525388,-8.9201394431841,19.42,"145.93 % lower",-145.932746875304
"591","James Calhoun","2024",16001,-188473.063429278,-11.7788302874369,23.31,"150.53 % lower",-150.531232464337
"592","Kathy Manning","2021",1279058.5,-17557157.7095947,-13.726626037507,26.89,"151.05 % lower",-151.047326283031
"593","Capito, Shelley Moore","2023",72004.5,-897731.095764986,-12.4677082094173,24.23,"151.46 % lower",-151.455667393385
"594","Whitehouse, Sheldon","2022",65001,-3183742.81301048,-48.9799051246978,-19.44,"151.95 % lower",-151.95424446861
"595","Reed, John F.","2018",8000.5,-125784.162398627,-15.7220376724738,-6.24,"151.96 % lower",-151.95573193067
"596","Loeffler, Kelly","2020",28557047,-243828178.696262,-8.53828404233331,16.26,"152.51 % lower",-152.51097197007
"597","Austin Scott","2021",596025,-8566745.95769447,-14.3731319285172,26.89,"153.45 % lower",-153.451587685077
"598","Suzan K. Delbene","2023",1125001,-15064226.7478053,-13.3904118732386,24.23,"155.26 % lower",-155.263771660085
"599","Capito, Shelley Moore","2017",352022,-3796271.29827841,-10.7841876311094,19.42,"155.53 % lower",-155.531347225074
"600","Raúl M. Grijalva","2020",16001,-148288.372107371,-9.2674440414581,16.26,"157.00 % lower",-156.995350808475
"601","John J. Faso","2017",8000.5,-89791.4463251374,-11.2232293388085,19.42,"157.79 % lower",-157.792118119508
"602","John Rutherford","2021",152508,-2548966.93329749,-16.7136604853351,26.89,"162.16 % lower",-162.155673058145
"603","Kevin Yoder","2017",24001.5,-296348.590943231,-12.3470862630765,19.42,"163.58 % lower",-163.57922895508
"604","Perdue, David","2019",3582596.5,-65801878.0176911,-18.367091582234,28.88,"163.60 % lower",-163.597962542362
"605","Kevin Hern","2023",7154565.5,-110289108.40757,-15.4152070321489,24.23,"163.62 % lower",-163.620334429009
"606","Moran, Jerry","2019",128008,-2356494.46980887,-18.4089624852265,28.88,"163.74 % lower",-163.742944893444
"607","Carol Devine Miller","2019",178503.5,-3306301.19900694,-18.5223326097636,28.88,"164.14 % lower",-164.135500726328
"608","Collins, Susan M.","2014",885538.5,-6635793.14500785,-7.49351173891124,11.39,"165.79 % lower",-165.790269876306
"609","King, Angus","2021",16001,-293488.068946533,-18.3418579430369,26.89,"168.21 % lower",-168.21070265168
"610","Perdue, David","2020",6350567.5,-70795801.2194884,-11.1479487808748,16.26,"168.56 % lower",-168.560570608086
"611","Daniel Crenshaw","2021",120506,-2225187.73339746,-18.4653688065114,26.89,"168.67 % lower",-168.670021593571
"612","Peter Welch","2020",176011,-1972853.14577154,-11.2086923304313,16.26,"168.93 % lower",-168.934147173624
"613","Garret Graves","2020",32002,-365137.173988393,-11.409823573164,16.26,"170.17 % lower",-170.171116686125
"614","Greg Gianforte","2020",18033633.5,-206588996.081941,-11.4557610412755,16.26,"170.45 % lower",-170.453634940194
"615","Cheri Bustos","2019",357505.5,-7281946.14045642,-20.3687667475225,28.88,"170.53 % lower",-170.528970732419
"616","August Lee Pfluger Ii","2021",80005,-1533530.19926027,-19.1679294951599,26.89,"171.28 % lower",-171.282742637263
"617","Moran, Jerry","2021",120007.5,-2311898.5359582,-19.2646170944166,26.89,"171.64 % lower",-171.642309759824
"618","Lloyd K. Smucker","2020",105502,-1245660.0103385,-11.8069800604586,16.26,"172.61 % lower",-172.613653508355
"619","Earl Blumenauer","2020",491026.5,-5829061.19978539,-11.8711743659159,16.26,"173.01 % lower",-173.008452434907
"620","Mikie Sherrill","2023",375000.5,-6658964.45207343,-17.757214862576,24.23,"173.29 % lower",-173.286070419216
"621","Earl Blumenauer","2019",312019.5,-6610034.25246735,-21.1846831767481,28.88,"173.35 % lower",-173.354166124474
"622","Steve Cohen","2021",75000.5,-1517397.78320158,-20.231835563784,26.89,"175.24 % lower",-175.239254606858
"623","Michael K. Simpson","2023",32500.5,-597665.464037533,-18.3894236715599,24.23,"175.90 % lower",-175.895268970532
"624","John A. Yarmuth","2019",40002.5,-877366.289403311,-21.9327864359305,28.88,"175.94 % lower",-175.944551370951
"625","Aston Donald Mceachin","2021",48003,-981699.534578095,-20.4507954623272,26.89,"176.05 % lower",-176.053534631191
"626","Susan A. Davis","2019",251505,-5543607.72150001,-22.0417396135266,28.88,"176.32 % lower",-176.321813066228
"627","Gilbert Cisneros","2020",7336347.5,-91378030.6207649,-12.455521036969,16.26,"176.60 % lower",-176.602220399563
"628","Virginia Foxx","2019",1637034,-36481359.1345179,-22.2850344797468,28.88,"177.16 % lower",-177.164246813528
"629","Debbie Dingell","2016",1263531.5,-9309267.90075388,-7.3676579497653,9.54,"177.23 % lower",-177.229118970286
"630","Blake Moore","2023",8000.5,-150513.954751288,-18.813068527128,24.23,"177.64 % lower",-177.643700070689
"631","Sean Patrick Maloney","2020",48003,-619080.095944939,-12.8966959553557,16.26,"179.32 % lower",-179.31547328017
"632","David B. Mckinley","2017",744022,-11514597.3729908,-15.4761517441565,19.42,"179.69 % lower",-179.691821545605
"633","Wicker, Roger","2019",8000.5,-184701.944783014,-23.086300204114,28.88,"179.94 % lower",-179.938712618123
"634","Dan Newhouse","2023",112007,-2183291.75817241,-19.4924581336203,24.23,"180.45 % lower",-180.447619206027
"635","Reed, John F.","2017",184011.5,-2884253.1495499,-15.6743092119237,19.42,"180.71 % lower",-180.712199855426
"636","Bill Flores","2016",3188621,-24856103.1103762,-7.79525164965551,9.54,"181.71 % lower",-181.711233224901
"637","Carper, Thomas R.","2023",488529,-9682749.88605889,-19.8202151480442,24.23,"181.80 % lower",-181.800310144632
"638","Mary Gay Scanlon","2023",65001,-1303268.10810847,-20.0499701252052,24.23,"182.75 % lower",-182.74853539086
"639","Roger W. Marshall","2020",168010.5,-2274655.16644507,-13.538767912988,16.26,"183.26 % lower",-183.264255307429
"640","Gary C. Peters","2014",16001,-153452.620762227,-9.59018941080099,11.39,"184.20 % lower",-184.198326697111
"641","James E Hon Banks","2021",273512.5,-6250783.70135647,-22.8537405104208,26.89,"184.99 % lower",-184.989737859505
"642","Judy Chu","2020",32500.5,-451720.56088612,-13.8988803521829,16.26,"185.48 % lower",-185.478968955614
"643","Lois Frankel","2016",1176572,-9615944.31976812,-8.17284817229045,9.54,"185.67 % lower",-185.669268053359
"644","Donald Sternoff  Beyer Jr","2020",72004.5,-1009902.57669548,-14.0255480795711,16.26,"186.26 % lower",-186.257983269195
"645","David P. Joyce","2021",16001,-375296.755424823,-23.45458130272,26.89,"187.22 % lower",-187.224177399479
"646","Nancy Pelosi","2024",925001,-18814488.7673402,-20.3399658674317,23.31,"187.26 % lower",-187.258540829823
"647","Mary Gay Scanlon","2021",56502,-1385362.52544636,-24.518822792934,26.89,"191.18 % lower",-191.181936753194
"648","Susan A. Davis","2020",356508.5,-5330233.48955789,-14.9512101101598,16.26,"191.95 % lower",-191.950861686099
"649","Robert E. Latta","2024",8000.5,-171841.187910147,-21.4788060633894,23.31,"192.14 % lower",-192.144170156111
"650","Frank A. Lobiondo","2018",72004.5,-1313053.06713692,-18.235708422903,-6.24,"192.24 % lower",-192.238917033701
"651","Lois Frankel","2014",128008,-1346774.89790403,-10.5210213260424,11.39,"192.37 % lower",-192.37068767377
"652","Peters, Gary","2021",104505,-2599055.19570509,-24.8701516262867,26.89,"192.49 % lower",-192.488477598686
"653","Mikie Sherrill","2022",350001,-19901452.2003998,-56.8611295407721,-19.44,"192.50 % lower",-192.495522329075
"654","John Rutherford","2020",112007,-1705894.57855805,-15.2302497036619,16.26,"193.67 % lower",-193.666972347244
"655","Josh Gottheimer","2018",1839098.5,-34080906.869311,-18.5313113296058,-6.24,"196.98 % lower",-196.976143102656
"656","Lamar Smith","2019",8000.5,-224188.164248784,-28.0217691705249,28.88,"197.03 % lower",-197.028286601541
"657","David A. Trott","2017",3337503.5,-64516629.0257651,-19.3308049042541,19.42,"199.54 % lower",-199.540704965263
"658","Kennedy, John","2018",8000.5,-151321.700723093,-18.9140304634827,-6.24,"203.11 % lower",-203.109462555812
"659","King, Angus","2019",16001,-485268.161751527,-30.3273646491798,28.88,"205.01 % lower",-205.011650447299
"660","W. Greg Steube","2020",16001,-277290.889349181,-17.329597484481,16.26,"206.58 % lower",-206.578090310461
"661","Anthony E. Gonzalez","2020",16001,-282140.606555286,-17.6326858668387,16.26,"208.44 % lower",-208.442102502083
"662","Joseph D. Morelle","2020",161007,-2878195.47824389,-17.8762133214325,16.26,"209.94 % lower",-209.939811324923
"663","Robert C. ""Bobby"" Scott","2017",32500.5,-703645.769597514,-21.6503059829084,19.42,"211.48 % lower",-211.484582816212
"664","Katherine M. Clark","2018",328519,-6400269.93694859,-19.4821910968577,-6.24,"212.21 % lower",-212.214600911181
"665","Mr. Mick Mulvaney","2014",202505,-2590702.7763536,-12.7932780738925,11.39,"212.32 % lower",-212.320264037686
"666","Carper, Thomas R.","2019",72004.5,-2346943.64074389,-32.5944023046322,28.88,"212.86 % lower",-212.861503824904
"667","Greg Steube","2023",24001.5,-658389.021593558,-27.4311614521408,24.23,"213.21 % lower",-213.211561915563
"668","Alan S. Lowenthal","2017",1130759,-25035578.3175243,-22.1405076745127,19.42,"214.01 % lower",-214.008793380601
"669","Mrs. Susan A. Davis","2014",32500.5,-422651.521894464,-13.004462143489,11.39,"214.17 % lower",-214.174382295777
"670","Warren Davidson","2018",73001.5,-1433864.26563651,-19.6415726476376,-6.24,"214.77 % lower",-214.768792430089
"671","Adam B. Schiff","2021",40501,-1283301.26943553,-31.6856687349825,26.89,"217.83 % lower",-217.834394700567
"672","Robert J. Wittman","2019",128008,-4381433.75888192,-34.2278120030148,28.88,"218.52 % lower",-218.517354581076
"673","Garret Graves","2017",16001,-371254.884856396,-23.2019801797635,19.42,"219.47 % lower",-219.474666219173
"674","Perdue, David","2017",3292103,-77195762.2091432,-23.4487688292691,19.42,"220.75 % lower",-220.745462560603
"675","Morgan Mcgarvey","2023",48003,-1404904.71288653,-29.2670189964487,24.23,"220.79 % lower",-220.788357393515
"676","Mr. Michael K. Simpson","2014",64004,-884270.674433031,-13.8158657964038,11.39,"221.30 % lower",-221.298207167725
"677","Brian Mast","2017",8000.5,-190038.716863257,-23.7533550232182,19.42,"222.31 % lower",-222.31387756549
"678","Michael C. Burgess","2021",96504.5,-3177604.78269248,-32.927011514411,26.89,"222.45 % lower",-222.450767997066
"679","Carol Devine Miller","2020",754515,-15043333.9954225,-19.9377533851846,16.26,"222.62 % lower",-222.61840950298
"680","Zoe Lofgren","2017",656041,-15626512.0425973,-23.8194137905973,19.42,"222.65 % lower",-222.654035996897
"681","Hickenlooper, John","2023",375000.5,-11198310.7225603,-29.8621221106646,24.23,"223.24 % lower",-223.244416469932
"682","David P. Joyce","2016",80503.5,-950485.027678007,-11.8067540874373,9.54,"223.76 % lower",-223.760525025548
"683","Greg Steube","2021",64502.5,-2148655.38718095,-33.3111954913522,26.89,"223.88 % lower",-223.879492344188
"684","Mikie Sherrill","2019",1471011,-52985698.8813024,-36.0199202326171,28.88,"224.72 % lower",-224.722715486901
"685","Capito, Shelley Moore","2021",354506,-12008390.6685531,-33.8735893568885,26.89,"225.97 % lower",-225.970953353992
"686","Mikie Sherrill","2020",2471099.5,-50730298.3042036,-20.5294437978736,16.26,"226.26 % lower",-226.257341930342
"687","Thomas J. Rooney","2016",4925126,-60441392.612634,-12.2720500171232,9.54,"228.64 % lower",-228.637840850348
"688","Collins, Susan M.","2016",424007,-5206179.95901961,-12.2785236069678,9.54,"228.71 % lower",-228.705698186246
"689","Kenneth R. Buck","2021",8000.5,-277235.9520293,-34.6523282331479,26.89,"228.87 % lower",-228.86697000055
"690","Virginia Foxx","2020",1254028.5,-26372353.2000812,-21.0301067320888,16.26,"229.34 % lower",-229.336449766844
"691","Lloyd Doggett","2019",160010,-6075275.12930254,-37.9680965521064,28.88,"231.47 % lower",-231.468478366019
"692","Cassidy, Bill","2019",72004.5,-2744104.75917131,-38.1101842130881,28.88,"231.96 % lower",-231.960471651967
"693","David B. Mckinley","2016",693164.5,-8786889.86713308,-12.6764856929821,9.54,"232.88 % lower",-232.877208521825
"694","Lou Barletta","2016",718525,-9160932.98448829,-12.7496370822007,9.54,"233.64 % lower",-233.643994572335
"695","Katherine M. Clark","2017",352520.5,-9164928.08768171,-25.9982840364793,19.42,"233.87 % lower",-233.873759199173
"696","Hoeven, John","2019",2415014,-93458782.6515237,-38.6990645402154,28.88,"234.00 % lower",-233.999530956424
"697","Toomey, Pat","2020",16001,-350494.697302133,-21.9045495470366,16.26,"234.71 % lower",-234.714326857544
"698","Carper, Thomas R.","2021",232014.5,-8591677.08262577,-37.0307764498588,26.89,"237.71 % lower",-237.712073074968
"699","Dwight Evans","2020",451522.5,-10123068.342951,-22.4198535907978,16.26,"237.88 % lower",-237.883478418191
"700","Bradley S. Schneider","2022",75000.5,-4945726.5163656,-65.942580601004,-19.44,"239.21 % lower",-239.21080556072
"701","David P. Joyce","2019",291009,-11841749.8928963,-40.6920400843147,28.88,"240.90 % lower",-240.900415804414
"702","Michael John Gallagher","2019",48501.5,-1976457.92597546,-40.7504494907468,28.88,"241.10 % lower",-241.102664441644
"703","Deborah Ross","2023",24001.5,-825620.039535172,-34.3986850628157,24.23,"241.97 % lower",-241.967334142863
"704","Rubén Hinojosa","2016",417023,-5802427.26241297,-13.9139262400706,9.54,"245.85 % lower",-245.848283438895
"705","Gary Palmer","2017",568035.5,-16173725.51854,-28.4730893025876,19.42,"246.62 % lower",-246.617349652871
"706","John W. Rose","2019",2208004,-94217246.3608267,-42.6707770279523,28.88,"247.75 % lower",-247.751998019225
"707","Louise Mcintosh Slaughter","2017",32002,-921839.75037148,-28.8056918433685,19.42,"248.33 % lower",-248.330030089436
"708","Robert E. Latta","2022",16001,-1089304.56593968,-68.0772805411963,-19.44,"250.19 % lower",-250.191772331257
"709","Debbie Dingell","2022",121503,-8289607.11455221,-68.2255344687144,-19.44,"250.95 % lower",-250.954395415198
"710","Lloyd Doggett","2020",160010,-3947661.1170617,-24.6713400228842,16.26,"251.73 % lower",-251.730258443322
"711","Tom Rice","2020",161505.5,-3984595.6264814,-24.6715785312661,16.26,"251.73 % lower",-251.73172528454
"712","Randy Neugebauer","2016",152508,-2227875.43885739,-14.6082529366157,9.54,"253.13 % lower",-253.126341054672
"713","Alan S. Lowenthal","2018",4382086.5,-96862472.4551988,-22.1041899686825,-6.24,"254.23 % lower",-254.23381360068
"714","Raúl M. Grijalva","2016",392024.5,-5793585.89411015,-14.7786321878101,9.54,"254.91 % lower",-254.912287083963
"715","Debbie Wasserman Schultz","2017",208013,-6297293.51589373,-30.2735574982993,19.42,"255.89 % lower",-255.888555604013
"716","Peters, Gary","2023",48501.5,-1866912.90275799,-38.4918590715337,24.23,"258.86 % lower",-258.860334591555
"717","Ed Perlmutter","2018",64004,-1451118.79588887,-22.6723141661282,-6.24,"263.34 % lower",-263.338368046927
"718","Gary Palmer","2018",1512094.5,-34589899.9369623,-22.875488229712,-6.24,"266.59 % lower",-266.594362655641
"719","Carper, Thomas R.","2017",104006.5,-3378099.42442308,-32.4796952538839,19.42,"267.25 % lower",-267.248688228033
"720","King, Angus","2017",16001,-520325.495898454,-32.5183110992097,19.42,"267.45 % lower",-267.447533981512
"721","Robert E. Latta","2023",24001.5,-992913.269185744,-41.368800666031,24.23,"270.73 % lower",-270.733803821837
"722","Frank A. Lobiondo","2015",40002.5,-108784.523197248,-2.71944311473652,-0.73,"272.53 % lower",-272.526454073496
"723","E. Scott Rigell","2016",2542035.5,-41986665.4689618,-16.5169469383735,9.54,"273.13 % lower",-273.133615706221
"724","Susan A. Davis","2016",251505,-4165463.80876929,-16.5621510855422,9.54,"273.61 % lower",-273.607453726857
"725","Michael K. Simpson","2016",235504,-3944640.445823,-16.7497810900154,9.54,"275.57 % lower",-275.574225262216
"726","Blunt, Roy","2022",75000.5,-5481208.44664742,-73.0822920733518,-19.44,"275.94 % lower",-275.937716426707
"727","John Curtis","2019",187506,-9598828.08682507,-51.1921116488276,28.88,"277.26 % lower",-277.258004324195
"728","Cassidy, Bill","2016",232014.5,-3996956.18310771,-17.2271827110276,9.54,"280.58 % lower",-280.578435126075
"729","Justin Amash","2018",211004,-5013795.16561462,-23.7616119391794,-6.24,"280.80 % lower",-280.795063127876
"730","Mr. John A. Yarmuth","2013",24001.5,-1292334.87707168,-53.8439212995722,29.6,"281.91 % lower",-281.905139525582
"731","Austin Scott","2019",24001.5,-1313152.82814342,-54.711281717535,28.88,"289.44 % lower",-289.443496251853
"732","Capito, Shelley Moore","2019",16001,-909743.670123767,-56.8554259186155,28.88,"296.87 % lower",-296.867818277755
"733","Mr. Lamar Smith","2014",912057,-20460797.3660427,-22.4336827260168,11.39,"296.96 % lower",-296.959462037022
"734","Mr. Beto O'Rourke","2013",105003.5,-6201836.94313218,-59.0631449726169,29.6,"299.54 % lower",-299.537651934517
"735","McConnell, A. Mitchell Jr.","2019",32002,-1861093.31270383,-58.1555313012884,28.88,"301.37 % lower",-301.369568217758
"736","Collins, Susan M.","2019",65001,-3834022.71923823,-58.9840574643194,28.88,"304.24 % lower",-304.23842612299
"737","David Cheston Rouzer","2019",32002,-1888812.02376028,-59.0216868870782,28.88,"304.37 % lower",-304.368721908165
"738","Collins, Susan M.","2018",170004.5,-4333609.87091275,-25.4911480043926,-6.24,"308.51 % lower",-308.511987249881
"739","Carper, Thomas R.","2020",1024064,-34737316.1421716,-33.9210402300751,16.26,"308.62 % lower",-308.616483579798
"740","Anthony E. Gonzalez","2021",357502,-20537187.543929,-57.4463570663354,26.89,"313.63 % lower",-313.634648814933
"741","John A. Yarmuth","2016",192012,-4019702.53745503,-20.9346423007678,9.54,"319.44 % lower",-319.440694976602
"742","Mo Brooks","2020",420512.5,-15019655.8504015,-35.7175015020992,16.26,"319.66 % lower",-319.664830886219
"743","Virginia Foxx","2017",1494534.5,-64239183.1442402,-42.9827368617052,19.42,"321.33 % lower",-321.332321635969
"744","John Rutherford","2017",648040.5,-28171503.6127264,-43.4718256231306,19.42,"323.85 % lower",-323.850801354947
"745","Bradley S. Schneider","2014",582005,-14961541.5962728,-25.7068952951826,11.39,"325.70 % lower",-325.697061415124
"746","Lloyd Doggett","2018",152009.5,-4052658.94854499,-26.6605636394106,-6.24,"327.25 % lower",-327.252622426453
"747","Capito, Shelley Moore","2016",168010.5,-3663759.85078878,-21.8067314292189,9.54,"328.58 % lower",-328.582090453028
"748","Toomey, Pat","2019",40501,-2691045.7979816,-66.4439346678254,28.88,"330.07 % lower",-330.069025858121
"749","Thomas Suozzi","2020",3472066.5,-133116079.035653,-38.339150196476,16.26,"335.79 % lower",-335.788131589644
"750","Perdue, David","2018",4680607.5,-127553889.495062,-27.251567129921,-6.24,"336.72 % lower",-336.723832210273
"751","James R. Langevin","2018",3475525,-96150453.4833987,-27.6650156403417,-6.24,"343.35 % lower",-343.349609620861
"752","Larry Bucshon","2021",8000.5,-526104.573384354,-65.7589617379356,26.89,"344.55 % lower",-344.548016875923
"753","Whitehouse, Sheldon","2020",32500.5,-1313287.4459484,-40.4082228257533,16.26,"348.51 % lower",-348.513055508938
"754","Peters, Gary","2020",8000.5,-323371.763562307,-40.418944261272,16.26,"348.58 % lower",-348.578992996753
"755","Rick Larsen","2020",16001,-648326.914591424,-40.5178997932269,16.26,"349.19 % lower",-349.187575604101
"756","Michael K. Simpson","2020",105003.5,-4257547.4985959,-40.5467198578704,16.26,"349.36 % lower",-349.364820774111
"757","K. Michael Conaway","2016",2360621.5,-58108974.0544996,-24.6159640817046,9.54,"358.03 % lower",-358.028973602773
"758","Mo Brooks","2016",152508,-3810785.66052898,-24.9874476127743,9.54,"361.92 % lower",-361.922930951513
"759","Carper, Thomas R.","2016",16001,-403152.946600306,-25.1954844447413,9.54,"364.10 % lower",-364.10361053188
"760","Lori Trahan","2021",8000.5,-571097.933471408,-71.3827802601597,26.89,"365.46 % lower",-365.462180216287
"761","Flake, Jeffry","2017",40002.5,-2075186.07964815,-51.8764097155964,19.42,"367.13 % lower",-367.128783293493
"762","Mikie Sherrill","2021",375000.5,-27276511.1744883,-72.7372661489474,26.89,"370.50 % lower",-370.499316284669
"763","Michael K. Simpson","2017",145504.5,-7762591.48966287,-53.3494942744923,19.42,"374.71 % lower",-374.714182669888
"764","Mr. David B. Mckinley","2014",144009,-4528098.86919962,-31.4431658382436,11.39,"376.06 % lower",-376.059401564913
"765","James E Hon Banks","2023",8000.5,-535995.716292077,-66.9952773316764,24.23,"376.50 % lower",-376.497223820373
"766","Mr. Lamar Smith","2013",152009.5,-12507967.7172083,-82.2841185400141,29.6,"377.99 % lower",-377.986886959507
"767","Cochran, Thad","2018",267007.5,-7974939.41663583,-29.8678479691987,-6.24,"378.65 % lower",-378.6514097628
"768","Robert J. Wittman","2017",24001.5,-1310370.71119158,-54.5953674225185,19.42,"381.13 % lower",-381.129595378571
"769","Susan A. Davis","2015",253504,-891472.300627958,-3.51660052949049,-0.73,"381.73 % lower",-381.726099930205
"770","Cochran, Thad","2017",1370030.5,-75064052.1910326,-54.7900591928666,19.42,"382.13 % lower",-382.132127666666
"771","Hickenlooper, John","2021",1004506,-78186674.9163543,-77.8359461430338,26.89,"389.46 % lower",-389.46056579782
"772","Raúl M. Grijalva","2014",24001.5,-801627.275978132,-33.3990490585227,11.39,"393.23 % lower",-393.231335017758
"773","Whitehouse, Sheldon","2014",933043,-31364061.4315497,-33.6148081401926,11.39,"395.13 % lower",-395.125620194842
"774","John A. Yarmuth","2018",926024.5,-28627515.8193376,-30.9144259350996,-6.24,"395.42 % lower",-395.423492549673
"775","Toomey, Pat","2021",24001.5,-1945554.09018654,-81.0596875273019,26.89,"401.45 % lower",-401.449191250658
"776","W. Greg Steube","2019",8000.5,-700883.513993513,-87.6049639389429,28.88,"403.34 % lower",-403.341287877226
"777","Jr, Robert P Corker","2014",4747737.5,-165158365.995177,-34.7867517939181,11.39,"405.41 % lower",-405.414853326761
"778","Cassidy, Bill","2020",48003,-2384404.63321574,-49.6719920258263,16.26,"405.49 % lower",-405.48580581689
"779","Robert J. Wittman","2016",64502.5,-1918580.13468972,-29.7442755659039,9.54,"411.78 % lower",-411.784859181383
"780","Hagerty, Bill","2021",48501.5,-4087736.85717731,-84.2806275512574,26.89,"413.43 % lower",-413.427398851831
"781","Linda T. Sánchez","2017",32002,-1955773.36026937,-61.1140978773005,19.42,"414.70 % lower",-414.696693497943
"782","Gerald E. Connolly","2019",40002.5,-3648903.88151155,-91.2168959817898,28.88,"415.85 % lower",-415.847977776281
"783","Mr. Mo Brooks","2014",32002,-1152382.31650405,-36.0096967847025,11.39,"416.15 % lower",-416.151859391593
"784","Blunt, Roy","2021",8000.5,-683180.431050727,-85.3922168677867,26.89,"417.56 % lower",-417.561237886897
"785","Perdue, David","2016",2440598.5,-74531787.441525,-30.5383238748713,9.54,"420.11 % lower",-420.108216717728
"786","Ms. Suzan K. Delbene","2014",1300025,-47594912.0538893,-36.6107667574772,11.39,"421.43 % lower",-421.429032111301
"787","Roger W. Marshall","2019",136008.5,-13062269.6703175,-96.0400980109148,28.88,"432.55 % lower",-432.548815827267
