"","senator_name","year_in_office","Total_Transaction","yearly_weighted_return","weighted_average_returns","SP_500_return","abnormal_return_size","abnormal_return_numeric"
"409","Thomas H. Kean","2023",308505.5,2489678.95865013,8.07012827534721,24.23,"66.69 % lower",-66.693651360515
"410","James E. Banks","2020",136008.5,716773.555844353,5.27006441394731,16.26,"67.59 % lower",-67.5887797420214
"411","Michael K. Simpson","2022",32500.5,-1062493.59551676,-32.6916076834744,-19.44,"68.17 % lower",-68.1667061907119
"412","Lois Frankel","2019",1184074,10857483.9477252,9.16959915319921,28.88,"68.25 % lower",-68.2493104113601
"413","James French Hill","2021",40501,339569.518205696,8.38422553037446,26.89,"68.82 % lower",-68.8202843794182
"414","Elizabeth Fletcher","2019",808050.5,7251460.07705155,8.97401842712993,28.88,"68.93 % lower",-68.9265289919324
"415","Steve Cohen","2023",113502.5,817612.964336941,7.20347978535222,24.23,"70.27 % lower",-70.2704094702756
"416","Graham, Lindsey","2022",40501,-1340887.43832889,-33.1075143411,-19.44,"70.31 % lower",-70.3061437299385
"417","Maria Elvira Salazar","2023",710507.5,4962241.43367019,6.98408029988451,24.23,"71.18 % lower",-71.1758964098865
"418","Joe Courtney","2020",730039.5,3317465.42125728,4.54422729353313,16.26,"72.05 % lower",-72.052722671998
"419","Donald Sternoff  Beyer Jr","2021",727544,5363102.44237975,7.37151628269871,26.89,"72.59 % lower",-72.5864028162934
"420","Richard W. Allen","2024",75000.5,477258.911045892,6.36340972454706,23.31,"72.70 % lower",-72.7009449826381
"421","Michael Patrick Guest","2023",393021.5,2585577.11500842,6.57871672417011,24.23,"72.85 % lower",-72.8488785630619
"422","James R. Langevin","2020",1317038.5,5796252.56259689,4.40097427872981,16.26,"72.93 % lower",-72.9337375231869
"423","Susan W. Brooks","2020",96006,418100.315182576,4.35493943277061,16.26,"73.22 % lower",-73.2168546570073
"424","Lois Frankel","2020",1232077,5337632.32454716,4.33222300598677,16.26,"73.36 % lower",-73.3565620788022
"425","Virginia Foxx","2023",971027.5,6241874.4220537,6.42811292373666,24.23,"73.47 % lower",-73.4704377889531
"426","Kathy Manning","2023",804038,5094041.69626845,6.33557331403298,24.23,"73.85 % lower",-73.8523594138135
"427","Carlos Curbelo","2016",651036.5,1599470.20675425,2.45680573478484,9.54,"74.25 % lower",-74.247319341878
"428","Zoe Lofgren","2023",825547,5129907.29588287,6.21394941279282,24.23,"74.35 % lower",-74.3543152587998
"429","Victoria Spartz","2024",91001.5,531314.373917016,5.83852325419928,23.31,"74.95 % lower",-74.9527101921953
"430","Gilbert Cisneros","2019",5056211.5,35464001.1803915,7.01394733594343,28.88,"75.71 % lower",-75.7134787536585
"431","Nancy Pelosi","2019",1900003.5,13094088.1943115,6.89161267035113,28.88,"76.14 % lower",-76.1370752411664
"432","Suzan K. Delbene","2016",2238526.5,5080170.33228967,2.2694260408754,9.54,"76.21 % lower",-76.2114670767778
"433","Moran, Jerry","2023",16001,89684.6240622578,5.60493869522266,24.23,"76.87 % lower",-76.8677726156721
"434","Jared Moskowitz","2023",676533.5,3690579.54117499,5.45513199446146,24.23,"77.49 % lower",-77.4860421194327
"435","Tom Malinowski","2019",2180060.5,14116196.8621691,6.47513996156028,28.88,"77.58 % lower",-77.5791552577553
"436","Katherine M. Clark","2023",32500.5,165631.518089122,5.09627599849609,24.23,"78.97 % lower",-78.9670821357982
"437","Gerald E. Connolly","2021",104505,589904.787023049,5.64475180156977,26.89,"79.01 % lower",-79.0079888375985
